id,request_id,employee_id,template_id,document_name,is_required,due_date,status,submitted_at,verified_at,verified_by,file_reference,notes,created_at,updated_at
0cfdb6ca-f07d-4260-a7ad-0a6da881b785,fa6e934d-1733-4a2e-8b47-b009e3f90ad2,83d16f31-1de4-4d6f-84cc-90b4fe88353e,,Remote Work Agreement,true,2026-05-08,pending,,,,,,2026-05-05 20:25:25.000867+00,2026-05-05 20:25:25.000867+00
10943b0a-9751-43ed-a42e-def5301f93c1,2e535d94-7d9d-47cb-ade8-a088c9cc2814,161195f6-23a1-40db-ab9d-275240bac09d,,Remote Work Agreement,true,2026-05-15,pending,,,,,,2026-05-12 10:43:04.574808+00,2026-05-12 10:43:04.574808+00
10dd2232-cb02-4240-973d-056a1fb52d47,fb922aa5-d7b8-466f-8df0-b7fce41d6a88,fda8b304-21b1-4c3c-a29c-fc2d224fd44b,,Emergency Contact Form,true,2026-05-08,pending,,,,,,2026-05-05 20:32:31.340422+00,2026-05-05 20:32:31.340422+00
141a80d9-622b-447e-b3be-16cfc7055b29,2e535d94-7d9d-47cb-ade8-a088c9cc2814,161195f6-23a1-40db-ab9d-275240bac09d,,Emergency Contact Form,true,2026-05-15,pending,,,,,,2026-05-12 10:42:48.125559+00,2026-05-12 10:42:48.125559+00
1cf39d23-258e-41b2-ac4d-ebc1adba526b,506d4685-ea30-4e62-a18a-6746bdd7960c,1d0063db-684b-4f1a-ba90-a2c26550a0e3,,Data Protection Acknowledgement,true,2026-05-08,pending,,,,,,2026-05-05 20:42:49.569018+00,2026-05-05 20:42:49.569018+00
1d9aa20d-72f8-442f-ad0f-4c382eb41c43,fa6e934d-1733-4a2e-8b47-b009e3f90ad2,83d16f31-1de4-4d6f-84cc-90b4fe88353e,,Government ID,true,2026-05-08,pending,,,,,,2026-05-05 20:24:58.542018+00,2026-05-05 20:24:58.542018+00
249efacc-c2e3-456c-a6bb-3d2bd0818ab1,fa6e934d-1733-4a2e-8b47-b009e3f90ad2,83d16f31-1de4-4d6f-84cc-90b4fe88353e,,Bank/Payroll Details,true,2026-05-08,pending,,,,,,2026-05-05 20:25:14.413041+00,2026-05-05 20:25:14.413041+00
33224b38-7e4d-4b9a-bc93-ec3c08acdec6,1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,218703ec-10bd-4041-baa0-e74e96e19f16,,Equipment Preference Form,false,2026-05-15,pending,,,,,,2026-05-10 18:01:44.015498+00,2026-05-10 18:01:44.015498+00
33af6218-1d65-497f-a1a1-074169cbcfd4,fa6e934d-1733-4a2e-8b47-b009e3f90ad2,83d16f31-1de4-4d6f-84cc-90b4fe88353e,,Signed Offer Letter,true,2026-05-08,pending,,,,,,2026-05-05 20:25:03.841773+00,2026-05-05 20:25:03.841773+00
3bc86910-f36f-435c-a4a1-e59903f66af9,134e295a-a1d4-4b58-8cfd-2eaf3754a282,00df9942-ab34-4f40-9456-490451b9b08d,,Signed Offer Letter,true,2026-05-08,pending,,,,,,2026-05-05 20:27:40.776391+00,2026-05-05 20:27:40.776391+00
410b60d8-e432-4f3a-a1b2-b8beb4f4cf21,2e535d94-7d9d-47cb-ade8-a088c9cc2814,161195f6-23a1-40db-ab9d-275240bac09d,,Data Protection Acknowledgement,true,2026-05-15,pending,,,,,,2026-05-12 10:43:10.103511+00,2026-05-12 10:43:10.103511+00
